"sample_id","dry_matter_g_100g","date","location","type","days_processed","catch_source","local_name","latin_name","nutrient","value","unit"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_d3",2,"mug_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_a1",110,"mug_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_a2",31,"mug_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","protein",16.1,"g_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vanadium",0.003,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","chromium",0.0016,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","manganese",0.48,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","iron",1.2,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","cobalt",7e-04,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","nickel", ,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","copper",0.058,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","zinc",4.2,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","arsenic",0.021,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","selenium",25,"mug_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","molybdenum",0.003,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","silver", ,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","cadmium",8e-04,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","mercury",9e-04,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","lead", ,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","iodine",17,"mug_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","calcium",830,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","sodium",47,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","potassium",200,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","magnesium",36,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","phosphorus",550,"mg_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","folate",18,"mug_100g"
"K_001_W","22.5","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_b12",10,"mug_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_d3",1,"mug_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_a1",70,"mug_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_a2",14,"mug_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","protein",15.1,"g_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vanadium",0.0022,"mg_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","chromium",0.0048,"mg_100g"
