"sample_id","vitamin_d3_mg_kg","vitamin_a1_mg_kg","vitamin_a2_mg_kg","dry_matter_g_100g","protein_g_100g","v_mg_kg","cr_mg_kg","mn_mg_kg","fe_mg_kg","co_mg_kg","ni_mg_kg","cu_mg_kg","zn_mg_kg","as_mg_kg","se_mg_kg","mo_mg_kg","ag_mg_kg","cd_mg_kg","hg_mg_kg","pb_mg_kg","iodine_mg_kg","ca_mg_kg","na_mg_kg","k_mg_kg","mg_mg_kg","p_mg_kg","folat_mg_kg","cobalamin_mg_kg_mg_kg","date","location","type","days_processed","catch_source","local_name","latin_name"
"K_001_W","0.02",1.1,"0.31",22.5,16.1,"0.03","1.6E-2","4.8","12","7.0000000000000001E-3","<0,06","0.57999999999999996","42","0.21","0.25","0.03","<0,002","8.0000000000000002E-3","8.9999999999999993E-3","<0,005",0.17,"8300","470","2000","360","5500",0.18,0.1,"20-01-2022","Kisumu","Fresh",0,"Lake Victoria","Omena","Rastrineobola argenteus"
"K_002_W","0.01",0.7,"0.14000000000000001",20.8,15.1,"2.1999999999999999E-2","4.8000000000000001E-2","4.5999999999999996","26","1.2E-2","<0.06","0.66","46","0.14000000000000001","0.18","0.02","<0.002","5.0000000000000001E-3","8.0000000000000002E-3","5.0000000000000001E-3",0.14,"8300","410","1700","340","5300",0.19,0.12,"20-01-2022","Kisumu","Fresh",0,"Lake Victoria","Omena","Rastrineobola argenteus"
"K_003_W","7.0000000000000007E-2",1.7,"0.36",24.9,16.4,"5.2999999999999999E-2","3.1E-2","3.3","25","1.6E-2","<0,06","0.56000000000000005","35","4.5999999999999999E-2","0.21","0.03","<0,002","3.0000000000000001E-3","0.01","<0,005",0.13,"14000","750","2800","420","8000",0.22,0.08,"20-01-2022","Kisumu","Fresh",0,"Lake Victoria","Fulu","Haplochromines"
"A_001_W","0.34",2,"0.23",26.2,21,"1.2999999999999999E-2","8.9999999999999993E-3","0.79","31","8.0000000000000002E-3","<0,07","2","18","1.2","0.77","<0,02","2.7E-2","4.2000000000000003E-2","1.6E-2","<0,006",0.66,"7400","1600","3900","460","6100",0.82,0.12,"31-01-2022","Accra","Fresh",0,"Accra","Tuna fingerling",""
"A_002_W","0.13",2,"0.18",28.5,21,"2.1000000000000001E-2","1.7000000000000001E-2","0.98","24","1.9E-2","<0,08","1.1000000000000001","15","1.8","0.6","<0,03","<0,003","2.4E-2","7.0000000000000001E-3","<0,007",1.4,"8700","1500","3700","560","6500",0.32,0.074,"31-01-2022","Accra","Fresh",0,"Accra","Horse mackerel","Trachurus sp."
"A_003_W","0.1",0.18,"0.18",28.4,22,"0.28999999999999998","2.1000000000000001E-2","3.4","27","1.0999999999999999E-2","<0,07","0.93","19","3.1","1","<0,02","<0,002","2.1999999999999999E-2","1.0999999999999999E-2","2.5999999999999999E-2",0.34,"15000","1600","4200","630","10000",0.47,0.12,"31-01-2022","Accra","Fresh",0,"Accra","Herring","Sardinella maderensis"
"A_004_W","0.06",0.44,"2.5999999999999999E-2",24,17,"0.38","3.1E-2","4.5","32","2.3E-2","<0,07","1.3","18","2.5","0.5","0.04","<0,002","7.0000000000000007E-2","0.01","2.3E-2",0.51,"8700","1600","3700","620","6600",0.64,0.15,"31-01-2022","Accra","Fresh",0,"Accra","Anchovy","Engraulis encrasicolus"
"A_005_W","7.0000000000000007E-2",0.1,"6.0000000000000001E-3",34,21,"0.14000000000000001","1.6E-2","0.43","22","<0,008","<0,09","0.78","15","1.5","1.4","<0,03","<0,003","3.6999999999999998E-2","3.2000000000000001E-2","<0,008",1,"6100","1100","3600","420","5000",0.17,0.082,"31-01-2022","Accra","Fresh, gutted",0,"Accra","Mackerel","Scomberomorus tritor"
"A_006_W","0.12",1.5,"0.1",32,21,"0.22","0.01","0.5","28","1.0999999999999999E-2","<0,1","0.95","14","1.7","1.4","<0,03","<0,003","7.2999999999999995E-2","3.2000000000000001E-2","<0,008",0.97,"6900","1100","3500","430","5400",0.5,0.1,"31-01-2022","Accra","Fresh, gutted",0,"Accra","Mackerel","Scomberomorus tritor"
"A_007_W","0.23",1.7,"0.09",32,22,"9.6000000000000002E-2","8.0000000000000002E-3","0.59","27","1.0999999999999999E-2","<0,08","1.1000000000000001","17","1.7","1.4","<0,03","<0,003","5.2999999999999999E-2","4.8000000000000001E-2","1.2E-2",0.89,"6900","1300","3500","450","5300",0.27,0.12,"31-01-2022","Accra","Fresh, gutted",0,"Accra","Mackerel","Scomberomorus tritor"
