"sample_id","v_mg","cr_mg","mn_mg","fe_mg","co_mg","ni_mg","cu_mg","zn_mg","as_mg","se_mg","mo_mg","ag_mg","cd_mg","hg_mg","pb_mg","ca_mg","na_mg","k_mg","mg_mg","p_mg","vitamin_d3_mg_kg","vitamin_a1_mg_kg","vitamin_a2_mg_kg","dry_matter_g_100g","protein_g_100g","iodine_mg_kg","folat_mg_kg","cobalamin_mg_kg_mg_kg","date","location","type","total_length_mm","mass_g","local_name","latin_name"
"T_001_W","4.0000000000000001E-3","<0.005","0.33","4.3","<0.005","<0.06","0.11","2.6","0.005","0.074","<0.02","<0.002","<0.0009","0.008","<0.005","79","340","3300","250","1600",0.57,0.009,"< 0.005",20,18,0.83,0.063,0.0047,"20-01-2022","Kisumu","Wild",326,707,"tilapia","Oreochromis niloticus"
"T_002_W","2E-3","<0.005","0.14","1.1","<0.005","<0.06","0.085","2.5","0.005","0.071","<0.02","<0.002","<0.0009","0.004","<0.005","95","320","3500","250","1600",0.04,0.008,"< 0.005",20.2,18,0.68,0.062,0.0033,"20-01-2022","Kisumu","Wild",314,630,"tilapia","Oreochromis niloticus"
"T_003_W","<0.001","<0.005","0.087","1.3","<0.005","<0.06","0.093","2.5","0.005","0.12","<0.02","<0.002","<0.001","0.016","<0.005","92","360","4000","270","1800",0.46,0.009,"< 0.005",21.1,20,0.77,0.08,0.0037,"20-01-2022","Kisumu","Wild",334,720,"tilapia","Oreochromis niloticus"
"T_004_W","2E-3","1.4999999999999999E-2","0.15","1.4","<0.005","<0.06","0.087","2.6","0.004","0.098","<0.02","<0.002","<0.001","0.006","<0.005","100","440","3900","300","1900",0.19,0.01,"< 0.005",20.3,19,0.91,0.068,0.003,"20-01-2022","Kisumu","Wild",325,630,"tilapia","Oreochromis niloticus"
"T_005_W","5.0000000000000001E-3","1.0999999999999999E-2","0.14","2.3","<0.005","<0.06","0.096","2.9","0.004","0.11","<0.02","<0.002","<0.001","0.009","<0.005","100","360","3800","280","1800",0.3,0.008,"< 0.005",21.3,20,0.98,0.062,0.0017,"20-01-2022","Kisumu","Wild",321,701,"tilapia","Oreochromis niloticus"
"T_001_C","<0.001","<0.005","0.11","0.95","<0.005","<0.07","0.12","2.6","0.12","0.1","<0.02","<0.002","<0.001","0.005","<0.005","110","400","3500","260","1600",0.31,0.012,"< 0.005",21.8,20,0.78,0.024,0.0021,"20-01-2022","Kisumu","Cage",312,687,"tilapia","Oreochromis niloticus"
"T_002_C","<0.001","<0.005","0.12","1.3","<0.005","<0.06","0.11","2.8","0.095","0.11","<0.02","<0.002","<0.001","0.005","<0.005","190","480","3400","270","1700",0.31,0.014,"< 0.005",22.2,20,0.29,0.027,0.0034,"20-01-2022","Kisumu","Cage",315,600,"tilapia","Oreochromis niloticus"
"T_003_C","<0.001","5.0000000000000001E-3","0.11","0.99","<0.005","<0.07","0.11","2.9","0.11","0.12","<0.02","<0.002","<0.001","0.005","<0.005","100","370","3600","270","1700",0.14,0.015,"6.0000000000000001E-3",22.9,20,0.33,0.025,0.0024,"20-01-2022","Kisumu","Cage",315,666,"tilapia","Oreochromis niloticus"
"T_004_C","<0.001","6.0000000000000001E-3","0.15","1.4","<0.005","<0.06","0.12","2.8","0.11","0.12","<0.02","<0.002","<0.001","0.007","<0.005","130","410","3500","270","1600",0.31,0.014,"< 0.005",22.5,20,0.24,0.013,0.0013,"20-01-2022","Kisumu","Cage",322,619,"tilapia","Oreochromis niloticus"
"T_005_C","<0.001","<0.006","0.12","3","<0.006","<0.07","0.11","2.9","0.15","0.13","0.03","<0.002","<0.001","0.005","<0.006","100","380","3600","270","1600",0.05,0.012,"< 0.005",21.6,21,0.45,0.024,0.0014,"20-01-2022","Kisumu","Cage",309,634,"tilapia","Oreochromis niloticus"
"T_001_P","3.0000000000000001E-3","<0.005","0.2","2","<0.005","<0.05","0.095","3.2","0.01","0.18","<0.02","<0.002","<0.0009","0.009","<0.005","110","290","3500","240","1600",0.33,0.01,"< 0.005",19.4,16.5,0.11,0.014,0.0097,"21-01-2022","Kisumu","Pond",246,270,"tilapia","Oreochromis niloticus"
"T_002_P","4.0000000000000001E-3","6.0000000000000001E-3","0.24","1.8","7.0000000000000001E-3","<0.06","0.09","3.1","0.012","0.2","<0.02","<0.002","<0.0009","0.008","<0.005","99","290","3700","250","1700",0.3,0.01,"< 0.005",19.5,17,0.3,0.02,0.0076,"21-01-2022","Kisumu","Pond",256,299,"tilapia","Oreochromis niloticus"
"T_003_P","5.0000000000000001E-3","<0.005","0.23","2.1","5.0000000000000001E-3","<0.06","0.13","3.5","0.007","0.2","<0.02","<0.002","<0.0009","0.009","<0.005","300","270","3800","260","1900",0.32,0.011,"< 0.005",19,17,0.29,0.014,0.0073,"21-01-2022","Kisumu","Pond",248,247,"tilapia","Oreochromis niloticus"
