"vague","grappe","menage","s09bq01","s09bq02","s09bq03"
1,74,12,205,1,800
1,74,12,203,1,600
1,74,12,211,1,400
2,378,1,205,1,1400
2,378,1,207,1,125
1,85,9,211,1,500
2,521,1,205,1,1300
2,521,1,207,1,50
2,521,1,212,1,3000
2,431,1,206,1,150
2,431,1,212,1,2000
2,431,1,205,1,1500
2,458,1,209,1,1000
2,458,1,207,1,75
2,458,1,204,1,1200
2,458,1,217,1,250
2,187,1,204,1,700
1,477,10,217,1,500
1,477,10,204,1,200
1,477,10,207,1,25
1,477,10,205,1,2500
2,156,1,207,1,25
2,156,1,209,1,4000
2,156,1,217,1,300
2,156,1,210,1,12000
2,156,1,203,1,6000
1,224,9,210,1,2800
1,224,9,204,1,2100
1,224,9,207,1,75
2,245,1,212,1,1200
2,245,1,204,1,1400
2,245,1,209,1,12000
2,245,1,207,1,50
1,355,4,207,1,25
1,355,4,203,1,2100
2,166,1,215,1,250
2,166,1,211,1,800
2,166,1,217,1,175
2,166,1,210,1,1200
2,166,1,207,1,125
2,166,1,203,1,2800
2,166,1,208,1,3000
1,449,9,205,1,1500
1,449,9,207,1,25
1,449,9,209,1,2700
2,326,1,203,1,1000
2,326,1,207,1,100
1,440,12,203,1,1400
1,440,12,207,1,50
1,355,8,207,1,25
1,355,8,215,1,1400
1,355,8,204,1,1400
2,384,1,205,1,500
2,384,1,203,1,250
2,384,1,211,1,400
2,384,1,209,1,1000
2,384,1,207,1,25
1,163,6,203,1,2100
1,163,6,207,1,100
1,491,12,204,1,1750
1,491,12,207,1,50
2,124,1,211,1,2500
1,9,10,211,1,5000
1,9,10,209,1,1400
1,9,10,207,1,50
1,9,10,210,1,4700
1,9,10,203,1,3150
1,9,10,216,1,500
1,451,1,212,1,4000
1,451,1,207,1,25
1,451,1,205,1,2000
1,451,1,217,1,1050
2,467,1,207,1,25
2,467,1,205,1,3000
2,467,1,217,1,125
2,528,1,203,1,2000
2,528,1,210,1,1000
2,504,1,217,1,200
2,504,1,207,1,25
2,504,1,205,1,2500
1,191,6,205,1,700
1,191,6,207,1,75
1,159,5,203,1,350
1,159,5,207,1,50
1,159,5,204,1,700
1,159,5,212,1,400
1,453,8,205,1,1500
2,547,1,205,1,5000
2,547,1,207,1,50
2,67,1,203,1,200
2,214,1,212,1,6500
2,214,1,217,1,500
2,214,1,203,1,3000
2,214,1,207,1,25
1,319,11,207,1,175
1,319,11,204,1,2100
2,14,1,210,1,5000
1,137,2,204,1,2100
2,579,1,207,1,50
2,579,1,206,1,500
2,579,1,201,1,2500
2,579,1,205,1,4500
2,579,1,204,1,6000
2,142,1,209,1,14000
2,142,1,210,1,1400
2,340,1,211,1,1000
2,340,1,207,1,25
2,340,1,205,1,3500
2,340,1,217,1,200
1,91,8,207,1,100
1,91,8,205,1,1000
1,580,4,217,1,1050
1,580,4,205,1,4000
1,580,4,207,1,100
1,47,4,210,1,4000
1,47,4,211,1,3500
1,47,4,203,1,200
2,284,1,204,1,7000
2,284,1,212,1,2900
2,284,1,203,1,6750
2,284,1,217,1,500
1,514,3,204,1,700
1,514,3,207,1,50
1,514,3,217,1,350
2,454,1,201,1,500
2,454,1,215,1,500
2,454,1,210,1,6000
2,454,1,209,1,6000
2,454,1,207,1,50
1,413,12,209,1,5600
1,413,12,205,1,1250
1,413,12,207,1,50
2,256,1,210,1,750
2,256,1,211,1,400
2,256,1,203,1,7000
2,256,1,207,1,50
2,113,1,206,1,500
2,113,1,203,1,1000
2,113,1,211,1,400
2,556,1,207,1,25
2,556,1,205,1,1000
1,329,5,207,1,125
1,329,5,203,1,1050
1,329,5,212,1,2500
1,329,5,210,1,3000
1,346,1,215,1,1000
1,346,1,207,1,50
1,346,1,217,1,100
2,105,1,207,1,75
2,105,1,203,1,2800
1,487,9,207,1,25
1,487,9,205,1,1500
2,558,1,205,1,500
2,558,1,207,1,25
1,189,2,205,1,1000
1,189,2,207,1,50
1,59,10,207,1,50
1,59,10,217,1,200
2,292,1,217,1,250
2,292,1,207,1,50
1,321,6,210,1,2700
1,321,6,204,1,1000
1,321,6,203,1,750
1,321,6,205,1,1500
1,321,6,207,1,100
2,431,2,207,1,25
2,431,2,205,1,1250
2,292,2,205,1,1500
2,292,2,207,1,50
2,20,1,203,1,2100
2,20,1,210,1,7000
2,20,1,211,1,2800
2,492,1,207,1,50
2,492,1,205,1,1400
2,577,1,205,1,1400
2,577,1,207,1,50
