"grappe","vague","coordonnes_gps__Latitude","coordonnes_gps__Longitude","coordonnes_gps__Accuracy","coordonnes_gps__Altitude","coordonnes_gps__Timestamp"
772,2,9.60353006143123,-3.11075426638126,4,351,"2019-05-17T07:34:49"
178,2,7.7380756,-5.3876577,16,319,"2019-04-29T10:41:29"
42,2,5.3857190022245,-3.99475562386215,6,113,"2019-07-19T15:03:58"
410,2,7.16972935013473,-4.40419256687164,20,156,"2019-05-04T15:47:12"
482,2,5.41444868780673,-3.02982774563134,6,141,"2019-05-15T08:03:40"
4,2,5.44924599118531,-4.0544352773577,19,144,"2019-05-09T14:52:13"
16,2,5.44019445776939,-4.05700433067977,36,147,"2019-05-14T10:22:13"
826,2,5.12964586727321,-5.85390365682542,5,81,"2019-05-03T08:47:23"
586,2,5.76699933037162,-4.80991624295712,6,50,"2019-05-10T15:32:24"
434,2,6.95720829069614,-5.90963769704103,9,207,"2019-06-07T10:32:15"
378,2,4.37138416338712,-7.45909536257386,7,43,"2019-05-06T08:02:40"
186,2,7.6729562273249,-5.055782943964,2,391,"2019-05-08T20:30:42"
990,2,6.16823089309037,-6.8740775808692,4,220,"2019-04-25T13:27:37"
404,2,9.13686508778483,-6.90511006861925,5,454,"2019-05-10T14:24:07"
1036,2,9.9263339,-5.1676995,20,360,"2019-05-16T22:01:24"
724,2,7.21900132019073,-5.23747662082314,24,215,"2019-04-17T07:07:20"
742,2,8.62824026495218,-6.12878364510834,7,425,"2019-04-17T11:36:29"
82,2,5.35493306815624,-3.88977438211441,9,57,"2019-04-28T09:38:01"
810,2,5.16218638513237,-5.58531587943435,17,34,"2019-04-29T07:32:30"
746,2,7.79079870320857,-5.83776840940118,10,322,"2019-05-05T14:59:30"
84,2,5.31589649152011,-4.25608878023922,20,44,"2019-05-04T12:39:03"
80,2,5.49721809569746,-4.0504028275609,7,116,"2019-04-15T16:19:57"
450,2,6.6510152,-5.6056416,19,274,"2019-04-11T16:00:25"
504,2,8.70057126972824,-6.61973434500396,7,386,"2019-04-05T08:16:03"
664,2,6.5808925,-8.4183641,29,252,"2019-04-28T11:46:52"
458,2,,,,,"##N/A##"
508,2,8.81941793952137,-6.74517254345119,4,435,"2019-05-10T16:17:45"
862,2,7.00800061225891,-7.40644888021052,28,316,"2019-05-05T16:46:38"
956,2,6.1172228,-3.8637052,17,142,"2019-06-30T13:25:20"
26,2,5.34560610540211,-4.07466885633767,5,75,"2019-04-30T13:57:37"
1060,2,6.67270344682038,-3.96847492083907,21,142,"2019-06-30T11:59:00"
744,2,7.84865604713559,-6.10449154861271,3,373,"2019-05-17T22:19:31"
276,2,7.2675377,-7.7805334,25,467,"2019-04-30T11:25:31"
694,2,10.1962586073205,-6.53181471861899,8,384,"2019-05-09T09:44:43"
456,2,6.6130478,-5.9788024,19,282,"2019-05-10T17:59:03"
880,2,6.74873694777489,-7.37184637226164,31,274,"2019-05-15T08:20:38"
1064,2,6.96709985844791,-4.01066699065268,21,230,"2019-04-17T11:05:55"
608,2,6.12086915876716,-5.93843355774879,16,209,"2019-05-09T09:01:54"
936,2,7.34357,-3.5756518,19,199,"2019-05-04T09:12:51"
574,2,5.86355621460825,-4.37658358365297,5,82,"2019-05-16T18:24:05"
588,2,6.24919320456684,-4.54398586414754,8,162,"2019-05-04T18:18:10"
1032,2,9.58486737683415,-5.21002320572734,50,364,"2019-05-13T06:56:52"
584,2,6.22897060588002,-5.22303812205791,7,192,"2019-05-01T08:04:29"
668,2,8.5406076,-7.4451635,37,491,"2019-05-06T10:41:02"
662,2,6.3980672,-8.3739022,24,309,"2019-05-02T17:22:50"
638,2,6.8231334,-7.9939932,21,317,"2019-05-15T09:31:07"
888,2,6.97031524032354,-7.36996077932417,29,335,"2019-05-09T08:05:25"
938,2,7.28903216309845,-4.1662719938904,46,225,"2019-05-18T20:21:02"
708,2,10.3918313747272,-6.43631030805409,8,376,"2019-05-03T08:22:50"
524,2,8.1268805405125,-6.94299979135394,5,364,"2019-05-16T15:28:51"
112,2,6.4234504988417,-6.68909274972975,4,243,"2019-05-16T16:19:41"
158,2,9.68139094300568,-5.50845617428422,32,410,"2019-05-03T08:01:31"
318,2,9.59190612193197,-3.83447284810245,3,304,"2019-04-28T16:05:33"
14,2,5.25515309069306,-3.96993345580995,20,33,"2019-04-28T15:50:33"
610,2,6.13044678233564,-5.9661427885294,9,252,"2019-05-03T16:44:15"
940,2,7.4405289,-3.5502807,16,193,"2019-05-11T07:04:03"
72,2,5.42003061622381,-4.00638492777944,10,136,"2019-05-03T08:57:53"
748,2,7.8502472,-5.9360574,48,275,"2019-05-07T12:03:58"
1034,2,9.5967686,-5.2516804,27,357,"2019-04-28T10:23:38"
1030,2,9.5902335,-5.1885604,18,370,"2019-05-09T11:15:30"
116,2,6.35574919637293,-6.55518438667059,8,224,"2019-05-09T07:44:18"
640,2,6.61836532875896,-8.15113705582917,10,317,"2019-05-11T09:21:02"
670,2,9.03513849712908,-7.8295339923352,5,541,"2019-04-15T16:56:06"
866,2,7.05228430218995,-7.38988037221134,8,340,"2019-04-29T15:38:35"
416,2,7.07355346530676,-4.28007317706943,7,153,"2019-05-10T08:06:42"
68,2,5.40590363088995,-4.01326932013035,5,135,"2019-04-29T10:33:27"
106,2,6.59938832279295,-6.85688713565469,35,279,"2019-04-27T10:57:06"
412,2,6.90181593876332,-4.47021313011646,18,143,"2019-05-15T18:06:30"
306,2,6.80404501967132,-5.27011591941118,7,256,"2019-05-10T20:46:59"
382,2,4.92039655800909,-7.49532521702349,6,85,"2019-04-14T17:59:27"
