"HHID","PID","h2q1","h2q3","h2q4","h2q5","h2q6","h2q7","h2q8","h2q9a","h2q9b","h2q9c","h2q10","h2q11","h2q12","h2q13_1","h2q13_2"
"1013000201","101300020106",6,1,10,11,15,7,6,99,99,2003,,,,,
"1013000201","101300020107",7,0,10,0,20,5,18,99,99,1992,3,,,,
"1013000201","101300020101",1,0,1,12,,1,45,99,99,1965,3,1,,,
"1013000201","101300020104",4,1,3,2,15,6,11,22,12,1998,5,,,,
"1013000201","101300020105",5,1,3,2,15,6,10,14,2,2000,,,,,
"1013000201","101300020103",3,1,7,12,,1,18,99,2,1992,5,1,,,
"1013000201","101300020102",2,0,9,12,,2,29,99,99,1981,3,1,,,
"1013000204","101300020404",4,0,3,6,13,2,2,12,3,2007,5,1,,,
"1013000204","101300020401",1,1,1,12,,1,34,14,3,1975,1,1,,,
"1013000204","101300020402",2,0,2,6,13,2,32,99,99,1977,1,1,,,
"1013000204","101300020403",3,0,3,6,15,2,6,9,2,2003,5,1,,,
"1013000204","101300020405",5,0,3,6,13,2,1,10,9,2009,5,1,,,
"1013000206","101300020602",2,1,7,6,15,7,23,99,99,1988,5,,15,1,108
"1013000206","101300020603",3,1,7,12,,1,24,15,99,1987,5,,,,
"1013000206","101300020601",1,1,1,12,,1,31,25,7,1980,1,,,,
"1021000102","102100010204",4,0,3,12,,1,2,24,12,2006,5,,,,
"1021000102","102100010206",6,0,7,9,13,1,,,,,,,13,,
"1021000102","102100010207",7,0,10,2,13,,20,,,,5,,,,
"1021000102","102100010203",3,0,3,9,15,3,11,5,4,1999,5,,,,
"1021000102","102100010202",2,0,2,12,,1,38,99,99,1972,1,,,,
"1021000102","102100010205",5,0,9,8,12,1,,,,,,,13,,
"1021000102","102100010201",1,1,1,12,,1,40,22,9,1970,1,,,,
"1021000108","102100010803",3,0,3,12,,1,25,22,1,1984,5,1,,,
"1021000108","102100010805",5,1,3,2,15,4,20,11,1,1989,5,1,,,
"1021000108","102100010804",4,1,3,12,,1,23,3,3,1986,5,1,,,
"1021000108","102100010801",1,1,1,12,,1,70,3,3,1939,1,1,,,
"1021000108","102100010806",6,0,3,3,15,4,17,11,4,1992,5,1,,,
"1021000108","102100010802",2,0,2,12,,1,60,25,11,1949,1,1,,,
"1021000109","102100010904",4,1,3,12,,3,13,99,99,1997,5,,,,
"1021000109","102100010901",1,0,1,12,,1,41,99,99,1970,3,,,,
"1021000109","102100010906",6,0,4,12,,1,3,1,2,2008,5,,,,
"1021000109","102100010905",5,1,3,6,15,1,20,9,10,1990,5,,,,
"1021000109","102100010903",3,0,3,12,,1,17,99,99,1993,5,,,,
"1021000109","102100010902",2,0,3,5,8,7,,99,99,1987,1,,8,1,115
"1021000111","102100011107",7,0,7,9,18,7,,99,99,1989,5,,18,1,102
"1021000111","102100011103",3,1,3,4,15,4,17,15,99,1994,5,1,,,
"1021000111","102100011102",2,0,3,4,15,4,18,26,7,1992,5,1,,,
"1021000111","102100011110",10,1,7,12,,2,18,99,99,1992,5,1,,,
"1021000111","102100011106",6,1,7,12,,1,22,99,2,1989,5,1,,,
"1021000111","102100011105",5,0,3,8,13,7,,4,7,2004,,,13,1,102
"1021000111","102100011104",4,1,3,12,,2,14,99,99,1996,5,1,,,
"1021000111","102100011108",8,1,7,12,,2,20,25,11,1990,5,1,,,
"1021000111","102100011101",1,1,1,12,,1,48,22,9,1962,3,1,,,
"1021000111","102100011109",9,1,7,12,,2,16,99,11,1993,5,1,,,
"1021000113","102100011307",7,1,3,12,,1,6,24,2,2005,5,1,,,
"1021000113","102100011305",5,0,3,4,15,4,13,25,10,1997,5,1,,,
"1021000113","102100011303",3,1,3,4,15,4,21,10,5,1989,5,1,,,
"1021000113","102100011310",10,0,9,2,20,1,19,99,99,1991,5,1,,,
"1021000113","102100011301",1,1,1,12,,1,48,99,99,1962,4,1,,,
"1021000113","102100011304",4,1,3,4,15,4,16,31,3,1995,5,1,,,
"1021000113","102100011309",9,0,9,9,13,7,,99,99,1978,5,,20,1,102
"1021000113","102100011302",2,0,2,10,10,10,,28,8,1966,1,,10,,
"1021000113","102100011308",8,0,8,4,15,4,18,23,9,1992,5,1,,,
"1021000113","102100011306",6,1,3,4,15,3,11,17,10,1999,5,1,,,
"1021000201","102100020104",4,0,3,12,,1,11,27,9,1999,5,1,,,
"1021000201","102100020101",1,1,1,12,,1,42,99,99,1968,1,1,,,
"1021000201","102100020106",6,1,10,0,1,1,0,10,11,2010,5,1,,,
"1021000201","102100020103",3,1,3,2,15,4,15,21,4,1995,5,1,,,
"1021000201","102100020102",2,0,2,12,,1,40,14,9,1970,1,1,,,
"1021000201","102100020105",5,0,10,12,,1,17,99,99,1993,5,1,,,
"1021000202","102100020202",2,0,3,12,,1,18,99,99,1992,5,,,,
"1021000202","102100020203",3,0,3,12,,1,14,99,5,1996,5,,,,
"1021000202","102100020201",1,1,1,12,,1,43,99,99,1967,3,,,,
"1021000203","102100020303",3,0,3,1,18,7,27,8,2,1982,5,,,,
"1021000203","102100020309",9,1,4,12,,1,8,31,5,2002,5,1,,,
"1021000203","102100020305",5,0,3,4,15,4,18,99,2,1992,5,1,,,
"1021000203","102100020304",4,1,3,12,,2,21,99,3,1989,5,1,,,
"1021000203","102100020311",11,1,2,0,10,10,,,,,,,,,
"1021000203","102100020306",6,1,4,12,,1,13,99,7,1997,5,1,,,
"1021000203","102100020301",1,0,1,12,,1,59,13,3,1951,4,1,,,
"1021000203","102100020310",10,1,4,0,20,7,2,25,5,2007,,,,,
"1021000203","102100020307",7,1,4,12,,1,15,99,6,1995,5,1,,,
"1021000203","102100020308",8,0,4,12,,1,6,99,11,2004,5,1,,,
"1021000203","102100020302",2,1,3,12,,2,38,20,4,1972,5,1,,,
"102100020304","10210002030405",5,1,3,5,1,1,0,22,6,2010,5,,,,
"102100020304","10210002030403",3,1,3,12,,1,7,29,12,2003,5,,,,
"102100020304","10210002030401",1,1,1,12,,1,28,99,99,1983,1,,,,
"102100020304","10210002030406",6,1,10,5,13,1,13,99,99,1998,5,,,,
"102100020304","1021000203040",2,0,2,12,,1,26,99,1,1984,1,,,,
"102100020304","10210002030404",4,1,3,12,,1,4,2,12,2006,5,,,,
"1021000204","102100020401",1,1,1,3,13,1,38,99,99,1972,1,,,,
"1021000207","102100020701",1,1,1,12,,2,45,99,99,1965,1,1,,,
"1021000207","102100020702",2,0,2,12,,1,39,99,99,1971,1,1,,,
"1021000207","102100020704",4,0,3,12,,2,18,99,99,1992,5,1,,,
"1021000207","102100020703",3,1,3,12,,2,14,99,99,1996,5,1,,,
"1021000212","102100021207",7,1,7,5,13,5,16,,,,5,,20,1,102
"1021000212","102100021203",3,1,3,12,,1,17,24,4,1993,5,,,,
"1021000212","102100021201",1,0,1,12,,1,49,99,99,1961,3,,,,
"1021000212","102100021205",5,0,7,0,13,7,,,,,,,,,
"1021000212","102100021204",4,1,3,12,,1,5,28,9,2005,5,,,,
"1021000212","102100021202",2,0,3,7,20,2,18,28,4,1992,5,,,,
"1021000212","102100021206",6,1,7,12,,1,17,99,99,1993,5,,,,
"1021000213","102100021303",3,1,3,5,15,4,25,99,7,1984,5,,,,
"1021000213","102100021301",1,1,1,12,,1,50,25,1,1959,1,,,,
"1021000213","102100021304",4,1,3,5,15,4,23,99,12,1986,5,,,,
"1021000213","102100021309",9,0,8,12,,1,5,27,11,2004,5,,,,
"1021000213","102100021310",10,0,8,12,,1,3,5,3,2007,5,,,,
"1021000213","102100021311",11,0,7,12,,1,14,99,99,1995,5,,,,
"1021000213","102100021305",5,0,3,4,15,4,21,99,3,1988,5,,,,
"1021000213","102100021302",2,0,2,12,,1,42,99,99,1967,1,,,,
"1021000213","102100021308",8,0,7,12,,1,25,21,5,1986,3,,,,
"1021000213","102100021312",12,1,9,0,13,5,,,,,,,,,
"1021000213","102100021306",6,0,7,3,15,4,18,99,99,1992,5,,,,
"1021000213","102100021307",7,0,7,6,12,7,20,99,99,1989,5,,,,
"1021000312","102100031204",4,0,3,12,,1,1,20,3,2009,5,1,,,
"1021000312","102100031203",3,1,3,12,,1,5,27,3,2005,5,1,,,
"1021000312","102100031202",2,0,10,3,15,4,10,17,7,2000,5,1,,,
"1021000312","102100031201",1,0,1,12,,1,31,1,11,1979,1,1,,,
"1021000313","102100031301",1,1,1,12,,1,38,14,6,1973,5,1,,,
"1021000313","102100031302",2,0,6,0,20,7,,,,,,,,,
"1021000401","102100040101",1,1,1,12,,1,34,1,1,1977,1,1,,,
"1021000402","102100040201",1,1,1,12,,1,45,27,7,1966,3,1,,,
"1021000402","102100040204",4,1,7,6,13,1,13,99,99,1997,5,1,,,
"1021000402","102100040203",3,1,8,12,,2,20,99,99,1990,5,1,,,
"1021000402","102100040202",2,1,10,12,,2,26,99,99,1984,5,1,,,
"1021000405","102100040501",1,1,1,12,,2,30,99,99,1980,1,1,,,
"1021000405","102100040504",4,0,3,8,1,1,1,29,4,2010,5,1,,,
"1021000405","102100040503",3,1,3,12,,1,3,21,10,2007,5,1,,,
"1021000405","102100040502",2,0,2,12,,1,30,1,1,1981,1,1,,,
"102100040502","1021000405030",4,0,6,12,,1,18,99,99,1992,5,,,,
"102100040502","10210004050203",3,1,3,12,,1,4,26,9,2006,5,,,,
"102100040502","1021000405020",1,0,1,12,,1,29,4,4,1982,2,,,,
"102100040502","10210004050202",2,0,3,12,,1,8,29,9,2002,5,,,,
"102100040502","10210004050206",6,0,3,2,1,1,0,7,5,2011,5,,,,
"102100040502","10210004050205",5,0,6,12,,1,17,5,1,1994,5,,,,
"1021000408","102100040802",2,1,3,,,1,35,99,99,1974,5,,,,
