"hhid","zone","state","lga","sector","ea","cluster","strata","wt_wave4","wt_longpanel","old_new","interviewer_id","supervisor_id","hhidyn","hhsmlc","rspavl","constn","InterviewStart","ag1a","ag2a","ag4","interview_result"
10001,4,1,115,1,670,"115-670",4,15279.640625,24952.974609375,1,105,112,1,1,1,1,1864631216000,2,1,2,1
10002,4,1,115,1,670,"115-670",4,15279.640625,29080.59765625,1,103,112,1,1,1,1,1864615231000,2,1,2,1
10003,4,1,115,1,670,"115-670",4,15279.640625,27114.708984375,1,105,112,1,1,1,1,1864620476000,2,1,2,1
10004,4,1,115,1,670,"115-670",4,15279.640625,27114.708984375,1,102,112,1,1,1,1,1864615779000,2,1,2,1
10005,4,1,115,1,670,"115-670",4,15279.640625,27114.708984375,1,111,112,1,1,1,1,1864622683000,2,2,2,1
10008,4,1,115,1,670,"115-670",4,15279.640625,27114.708984375,1,110,112,1,1,1,1,1864621516000,2,1,2,1
10009,4,1,105,2,0,"115-670",4,15279.640625,24952.974609375,1,111,112,1,1,1,1,1865155655000,1,2,2,1
10010,4,1,115,1,670,"115-670",4,15279.640625,21416.12109375,1,111,112,1,1,1,1,1864616229000,2,1,2,1
10031,4,1,111,1,1146,"111-1146",4,4958.84716796875,25618.62109375,1,103,112,1,1,1,1,1864016167000,1,2,2,1
10032,4,1,111,1,1146,"111-1146",4,4958.84716796875,37619.9765625,1,105,112,1,1,1,1,1864027519000,2,2,2,1
10033,4,1,111,1,1146,"111-1146",4,4958.84716796875,21982.384765625,1,111,112,1,1,1,1,1864026211000,2,1,2,1
10034,4,1,111,1,1146,"111-1146",4,4958.84716796875,37619.9765625,1,111,112,1,1,1,1,1864016116000,2,1,2,1
10035,4,1,111,1,1146,"111-1146",4,4958.84716796875,18866.583984375,1,105,112,1,1,1,1,1864017167000,2,2,2,1
10036,4,1,111,1,1146,"111-1146",4,4958.84716796875,23886.76953125,1,110,112,1,1,1,1,1864025450000,2,2,2,1
10037,4,1,111,1,1146,"111-1146",4,4958.84716796875,21982.384765625,1,110,112,1,1,1,1,1864016481000,2,1,2,1
10038,4,1,111,1,1146,"111-1146",4,4958.84716796875,23886.76953125,1,102,112,1,1,1,1,1864016837000,2,2,2,1
10040,4,1,111,1,1146,"111-1146",4,4958.84716796875,21982.384765625,1,102,112,1,1,1,1,1864016673000,2,2,2,1
10051,4,1,102,1,1690,"102-1690",4,3545.4638671875,21970.404296875,1,101,113,1,1,1,1,1864361241000,2,2,2,1
10053,4,1,102,1,1690,"102-1690",4,3545.4638671875,15494.119140625,1,109,113,1,1,1,1,1864361048000,2,1,2,1
10054,4,1,102,1,1690,"102-1690",4,3545.4638671875,14258.84375,1,106,113,1,1,1,1,1864361684000,2,2,2,1
10055,4,1,102,1,0,"102-1690",4,3545.4638671875,21970.404296875,1,105,112,1,1,1,1,1864707817000,2,2,2,1
10056,4,1,102,1,1690,"102-1690",4,3545.4638671875,24402.1484375,1,106,113,1,2,1,1,1864359600000,2,2,2,1
10057,4,1,102,1,1690,"102-1690",4,3545.4638671875,12237.783203125,1,101,113,1,1,1,1,1864369459000,2,1,2,1
10058,4,1,102,1,1690,"102-1690",4,3545.4638671875,15494.119140625,1,108,113,1,1,1,1,1864362028000,2,2,2,1
10059,4,1,102,1,1690,"102-1690",4,3545.4638671875,17756.40625,1,108,113,1,1,1,1,1864361421000,2,2,2,1
10060,4,1,102,1,1690,"102-1690",4,3545.4638671875,14258.84375,1,104,113,1,1,1,1,1864361235000,2,2,2,1
10061,4,1,107,2,1044,"107-1044",4,3131.96923828125,17735.39453125,1,108,113,1,1,1,1,1862461221000,1,1,2,1
10062,4,1,107,2,1044,"107-1044",4,3131.96923828125,19224.1015625,1,106,113,1,1,1,1,1862473084000,1,1,2,1
10063,4,1,107,2,1044,"107-1044",4,3131.96923828125,16580.21875,1,101,113,1,1,1,1,1862460262000,1,1,2,1
10064,4,1,107,2,1044,"107-1044",4,3131.96923828125,13557.3544921875,1,101,113,1,1,1,1,1862537725000,1,1,2,1
10065,4,1,102,1,0,"107-1044",4,3131.96923828125,13557.3544921875,1,101,113,1,1,1,1,1864725489000,1,2,2,1
10066,4,1,107,2,1044,"107-1044",4,3131.96923828125,13557.3544921875,1,106,113,1,1,1,1,1862460754000,1,1,2,1
10067,4,1,107,2,1044,"107-1044",4,3131.96923828125,14540.298828125,1,104,113,1,1,1,1,1862460704000,1,1,2,1
10068,4,1,107,2,1044,"107-1044",4,3131.96923828125,14540.298828125,1,108,113,1,1,1,1,1862533560000,1,2,2,1
10069,4,1,107,2,1044,"107-1044",4,3131.96923828125,16580.21875,1,109,113,1,1,1,1,1862462221000,1,1,2,1
10070,4,1,107,2,0,"107-1044",4,3131.96923828125,10708.060546875,1,108,113,1,1,1,1,1864797354000,1,2,2,1
10071,4,1,117,2,560,"117-560",4,2226.93994140625,19236.10546875,1,111,112,1,1,1,1,1863414530000,1,1,2,1
10072,4,1,117,2,560,"117-560",4,2226.93994140625,23801.267578125,1,111,112,1,1,1,1,1863423843000,1,1,2,1
10073,4,1,117,2,560,"117-560",4,2226.93994140625,23801.267578125,1,103,112,1,1,1,1,1863421651000,1,1,2,1
10074,4,1,117,2,560,"117-560",4,2226.93994140625,23801.267578125,1,103,112,1,1,1,1,1863505520000,1,1,2,1
10075,4,1,117,2,560,"117-560",4,2226.93994140625,23801.267578125,1,105,112,1,1,1,1,1863413512000,1,1,2,1
10076,4,1,117,2,560,"117-560",4,2226.93994140625,19236.10546875,1,105,112,1,1,1,1,1863425473000,1,1,2,1
10077,4,1,117,2,560,"117-560",4,2226.93994140625,21958.107421875,1,110,112,1,1,1,1,1863423053000,1,2,2,1
10078,4,1,117,2,560,"117-560",4,2226.93994140625,18002.2734375,1,110,112,1,1,1,1,1863418106000,1,1,2,1
10079,4,1,117,2,560,"117-560",4,2226.93994140625,21958.107421875,1,102,112,1,1,1,1,1863419527000,1,1,2,1
10080,4,1,117,2,560,"117-560",4,2226.93994140625,19236.10546875,1,102,112,1,1,1,1,1863414130000,1,1,2,1
10091,4,1,105,2,638,"105-638",4,1866.33715820312,15790.6865234375,1,111,112,1,1,1,1,1863674574000,1,1,2,1
10092,4,1,105,2,638,"105-638",4,1866.33715820312,10198.1533203125,1,103,112,1,1,1,1,1863690025000,1,1,2,1
10093,5,3,322,2,0,"105-638",4,1866.33715820312,11882.37109375,1,307,313,1,1,1,1,1864445084000,1,2,2,1
10094,4,1,105,2,638,"105-638",4,1866.33715820312,12911.767578125,1,103,112,1,1,1,1,1863678761000,1,2,2,1
10096,4,1,105,2,638,"105-638",4,1866.33715820312,15790.6865234375,1,105,112,1,1,1,1,1863674803000,1,1,2,1
10097,4,1,105,2,638,"105-638",4,1866.33715820312,16890.853515625,1,110,112,1,1,1,1,1863689512000,1,1,2,1
10098,4,1,105,2,638,"105-638",4,1866.33715820312,15790.6865234375,1,110,112,1,1,1,1,1863685609000,2,1,2,1
10099,4,1,105,2,638,"105-638",4,1866.33715820312,20335.125,1,102,112,1,1,1,1,1863673942000,1,2,2,1
10100,4,1,105,2,638,"105-638",4,1866.33715820312,11882.37109375,1,102,112,1,1,1,1,1863680003000,1,1,2,1
10102,4,1,108,2,904,"108-904",4,5453.29833984375,33552.953125,1,105,112,1,1,1,1,1862895505000,1,1,2,1
10103,4,1,108,2,904,"108-904",4,5453.29833984375,26054.6328125,1,103,112,1,1,1,1,1862819692000,1,1,2,1
10104,4,1,108,2,904,"108-904",4,5453.29833984375,42921.1875,1,111,112,1,1,1,1,1862886712000,1,1,2,1
10105,4,1,108,2,904,"108-904",4,5453.29833984375,26054.6328125,1,105,112,1,1,1,1,1862821895000,1,1,2,1
10106,4,1,108,2,904,"108-904",4,5453.29833984375,30209.3046875,1,110,112,1,1,1,1,1862820532000,1,1,2,1
10107,4,1,108,2,904,"108-904",4,5453.29833984375,33552.953125,1,102,112,1,1,1,1,1862891686000,1,1,2,1
10108,4,1,108,2,904,"108-904",4,5453.29833984375,42921.1875,1,111,112,1,1,1,1,1862821255000,1,1,2,1
10109,4,1,108,2,904,"108-904",4,5453.29833984375,30209.3046875,1,103,112,1,1,1,1,1862905426000,1,1,2,1
10110,4,1,108,2,904,"108-904",4,5453.29833984375,33552.953125,1,110,112,1,1,1,1,1862902793000,1,1,2,1
19001,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,109,113,1,2,1,1,1864526182000,2,2,2,1
19002,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,109,113,1,1,1,1,1864446438000,2,2,2,1
19005,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,106,113,1,1,1,1,1864450890000,2,2,2,1
19006,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,101,113,1,1,1,1,1864446471000,2,2,2,1
19007,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,101,113,1,1,1,1,1864450074000,2,2,2,1
19008,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,104,113,1,1,1,1,1864453365000,1,2,2,1
19009,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,108,113,1,1,1,1,1864453375000,2,2,2,1
19010,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,108,113,1,1,1,1,1864447052000,2,2,2,1
19012,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,104,113,1,1,1,1,1864446449000,2,2,2,1
19014,4,1,102,1,806,"102-806",4,5176.703125,1.79769313486232e+308,2,105,112,1,1,1,1,1864279792000,2,1,2,1
19015,4,1,102,1,806,"102-806",4,5176.703125,1.79769313486232e+308,2,105,112,1,1,1,1,1864284580000,2,2,2,1
