"hh_id","hh_cluster","hhweight","tot_hh","lat","lon","urban_rural","n_hh","n_adult","n_children","monthly_exp","monthly_exp_per_cap","country","dried","fresh","any_fish"
"1_74_12","1_74",111.17652130127,7101,14.8098527,-17.2523202,"rural",13,4,9,21000,1615.38461538462,"SEN","yes","yes","yes"
"2_378_1","2_378",259.921417236328,7101,15.99662759,-15.99978386,"rural",2,1,1,1750,875,"SEN","yes","yes","yes"
"2_521_1","2_521",193.078262329102,7101,14.28012555,-14.92901856,"rural",7,2,5,10000,1428.57142857143,"SEN","yes","yes","yes"
"2_431_1","2_431",239.374450683594,7101,12.77186037,-14.94600431,"rural",7,3,4,4750,678.571428571429,"SEN","no","yes","yes"
"2_458_1","2_458",98.7994689941406,7101,15.66048223,-13.25514598,"urban",4,2,2,4100,1025,"SEN","yes","yes","yes"
"2_187_1","2_187",272.489318847656,7101,16.3990684,-14.31904957,"urban",9,6,3,4800,533.333333333333,"SEN","yes","yes","yes"
"1_477_10","1_477",60.4699554443359,7101,15.1942589,-12.9491979,"urban",17,4,13,34750,2044.11764705882,"SEN","yes","yes","yes"
"1_529_4","1_529",25.5036067962646,7101,12.5468005,-12.1721261,"urban",1,1,0,2700,2700,"SEN","no","no","no"
"2_156_1","2_156",749.201232910156,7101,14.78099006,-15.96926363,"rural",6,3,3,7100,1183.33333333333,"SEN","yes","yes","yes"
"1_224_9","1_224",114.266693115234,7101,13.7617244,-13.6814581,"urban",11,7,4,11700,1063.63636363636,"SEN","no","yes","yes"
"2_245_1","2_245",133.992446899414,7101,13.97844569,-14.56878925,"urban",14,9,5,13100,935.714285714286,"SEN","yes","yes","yes"
"1_355_4","1_355",134.289138793945,7101,15.3444683,-15.4725143,"urban",6,4,2,7600,1266.66666666667,"SEN","yes","yes","yes"
"2_166_1","2_166",347.087585449219,7101,14.85882855,-15.88149688,"rural",9,7,2,35300,3922.22222222222,"SEN","yes","yes","yes"
"1_449_9","1_449",205.030914306641,7101,12.6975231,-13.7452108,"rural",16,9,7,34400,2150,"SEN","no","no","no"
"2_326_1","2_326",399.750427246094,7101,14.78698613,-16.91955444,"urban",9,7,2,12100,1344.44444444444,"SEN","no","yes","yes"
"1_440_12","1_440",122.089363098145,7101,12.9115348,-14.1617885,"urban",4,1,3,10100,2525,"SEN","yes","yes","yes"
"1_355_8","1_355",134.289138793945,7101,15.3444683,-15.4725143,"urban",8,5,3,11800,1475,"SEN","yes","yes","yes"
"2_384_1","2_384",107.015884399414,7101,14.34650948,-16.39767665,"urban",6,2,4,11100,1850,"SEN","yes","yes","yes"
"1_163_6","1_163",579.179016113281,7101,14.9027479,-15.8964956,"rural",13,7,6,19200,1476.92307692308,"SEN","yes","yes","yes"
"1_491_12","1_491",71.9949569702148,7101,14.1096506,-15.5498495,"urban",4,2,2,7300,1825,"SEN","no","yes","yes"
"2_124_1","2_124",208.997192382813,7101,12.59225013,-16.08038201,"rural",7,3,4,1100,157.142857142857,"SEN","yes","yes","yes"
"1_9_10","1_9",528.238830566406,7101,14.702625,-17.4551295,"urban",15,12,3,33800,2253.33333333333,"SEN","yes","yes","yes"
"1_451_1","1_451",223.082305908203,7101,13.0102098,-13.9996301,"rural",5,2,3,4500,900,"SEN","no","yes","yes"
"2_467_1","2_467",230.80192565918,7101,16.10176936,-13.69893977,"rural",15,7,8,5000,333.333333333333,"SEN","yes","yes","yes"
"2_528_1","2_528",19.0810966491699,7101,12.55312012,-12.1777516,"urban",7,3,4,24700,3528.57142857143,"SEN","no","yes","yes"
"2_504_1","2_504",235.573944091797,7101,13.93427358,-15.20878768,"rural",12,5,7,3500,291.666666666667,"SEN","yes","yes","yes"
"1_191_6","1_191",193.950653076172,7101,16.188689,-13.8985142,"rural",9,8,1,6000,666.666666666667,"SEN","yes","yes","yes"
"1_159_5","1_159",593.207580566406,7101,14.8934781,-15.8334449,"rural",5,3,2,4225,845,"SEN","yes","yes","yes"
"1_453_8","1_453",241.480834960938,7101,13.0407014,-14.4585138,"rural",8,7,1,2300,287.5,"SEN","no","yes","yes"
"2_547_1","2_547",67.8463973999023,7101,12.63437535,-12.4154818,"rural",3,2,1,1800,600,"SEN","yes","no","yes"
"1_329_8","1_329",326.408081054688,7101,14.7709471,-16.9569379,"urban",2,2,0,15100,7550,"SEN","yes","yes","yes"
"2_67_1","2_67",203.738616943359,7101,14.74179176,-17.24750878,"rural",1,1,0,9200,9200,"SEN","no","no","no"
"2_214_1","2_214",188.215103149414,7101,15.8873384,-16.5094258,"rural",8,5,3,57900,7237.5,"SEN","yes","yes","yes"
"1_319_11","1_319",423.923431396484,7101,14.8225287,-16.792214,"rural",11,5,6,5500,500,"SEN","yes","yes","yes"
"2_14_1","2_14",617.504333496094,7101,14.7242726,-17.4290068,"urban",2,1,1,10000,5000,"SEN","no","no","no"
"1_137_2","1_137",120.585922241211,7101,14.6630259,-16.2046259,"urban",5,2,3,2500,500,"SEN","yes","yes","yes"
"2_579_1","2_579",59.5391540527344,7101,13.05858917,-15.6428511,"urban",14,10,4,5300,378.571428571429,"SEN","no","yes","yes"
"2_142_1","2_142",102.932426452637,7101,14.62813492,-16.23910282,"urban",15,9,6,12750,850,"SEN","yes","yes","yes"
"2_340_1","2_340",342.998687744141,7101,15.05323755,-16.29352563,"rural",8,4,4,5550,693.75,"SEN","yes","yes","yes"
"1_91_8","1_91",176.674072265625,7101,12.8372596,-16.3574962,"rural",2,2,0,1450,725,"SEN","yes","yes","yes"
"1_47_4","1_47",614.466186523438,7101,14.7729092,-17.4143652,"urban",11,7,4,13900,1263.63636363636,"SEN","yes","yes","yes"
"2_284_1","2_284",400.037414550781,7101,13.70502846,-15.8097208,"rural",13,6,7,18500,1423.07692307692,"SEN","yes","yes","yes"
"1_514_3","1_514",87.2946090698242,7101,13.9813446,-14.8044016,"urban",6,4,2,4200,700,"SEN","yes","yes","yes"
"2_454_1","2_454",302.178741455078,7101,13.27598958,-15.09881438,"rural",21,11,10,15500,738.095238095238,"SEN","yes","yes","yes"
"1_413_12","1_413",331.553863525391,7101,13.7286623,-16.2212995,"rural",11,4,7,10800,981.818181818182,"SEN","yes","yes","yes"
"2_256_1","2_256",194.662811279297,7101,14.1399173,-16.0783102,"urban",12,3,9,13900,1158.33333333333,"SEN","yes","yes","yes"
