"sample_id","date","location","type","days_processed","catch_source","local_name","latin_name","nutrient","value","unit"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","vitamin_a1",100,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","vitamin_a2", ,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","protein",54,"g_100g"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","vanadium",0.074,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","chromium",0.038,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","manganese",3.1,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","iron",35,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","cobalt",0.024,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","nickel", ,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","copper",1.8,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","zinc",39,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","arsenic",4.1,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","selenium",1200,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","molybdenum", ,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","silver", ,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","cadmium",0.47,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","mercury",0.011,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","lead",0.057,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","iodine",830,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","calcium",9900,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","sodium",37000,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","potassium",8700,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","magnesium",2400,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","phosphorus",10000,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","vitamin_d3",110,"mg_kg"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","folate",200,"mg_100g"
"M_001","17-01-2022","Mombasa","Sun-dried","2","Tanzania","Omena","Encrasicholina punctifer","vitamin_b12",120,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_a1",1200,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_a2",290,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","protein",60,"g_100g"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","vanadium",0.68,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","chromium",0.24,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","manganese",32,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","iron",260,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","cobalt",0.15,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","nickel", ,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","copper",3.2,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","zinc",190,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","arsenic",0.66,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","selenium",1200,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","molybdenum",0.14,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","silver", ,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","cadmium",0.1,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","mercury",0.018,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","lead",0.08,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","iodine",760,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","calcium",39000,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","sodium",2800,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","potassium",12000,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","magnesium",1700,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","phosphorus",27000,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_d3",30,"mg_kg"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","folate",480,"mg_100g"
"K_001","20-01-2022","Kisumu","Sun-dried","2","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_b12",440,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_a1",1100,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_a2",310,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","protein",16.1,"g_100g"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vanadium",0.03,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","chromium",0.016,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","manganese",4.8,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","iron",12,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","cobalt",0.007,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","nickel", ,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","copper",0.58,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","zinc",42,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","arsenic",0.21,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","selenium",250,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","molybdenum",0.03,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","silver", ,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","cadmium",0.008,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","mercury",0.009,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","lead", ,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","iodine",170,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","calcium",8300,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","sodium",470,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","potassium",2000,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","magnesium",360,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","phosphorus",5500,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_d3",20,"mg_kg"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","folate",180,"mg_100g"
"K_001_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_b12",100,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_a1",700,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_a2",140,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","protein",15.1,"g_100g"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vanadium",0.022,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","chromium",0.048,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","manganese",4.6,"mg_kg"
