"local_name","latin_name","catch_source","form","n_samples","dry_matter","Arsenic mg 100 g-1","Cadmium mg 100 g-1","Calcium mg 100 g-1","Chromium mg 100 g-1","Copper mg 100 g-1","Dha g 100 g-1","Epa g 100 g-1","Folate mug 100 g-1","Iodine mug 100 g-1","Iron mg 100 g-1","Lead mg 100 g-1","Magnesium mg 100 g-1","Manganese mg 100 g-1","Mercury mg 100 g-1","Omega-3 (DHA + EPA) g 100 g-1","Phosphorus mg 100 g-1","Potassium mg 100 g-1","Protein g 100 g-1","Selenium mug 100 g-1","Sodium mg 100 g-1","Total_fats g 100 g-1","Vanadium mg 100 g-1","Vitamin B12 mug 100 g-1","Vitamin D mug 100 g-1","Zinc mg 100 g-1","Vitamin A1 mug 100 g-1","Cobalt mg 100 g-1","Molybdenum mg 100 g-1","Vitamin A2 mug 100 g-1","Nickel mg 100 g-1","Silver mg 100 g-1"
"Tuna fingerling","","Accra","Fresh",1,26.2,0.12,0.0042,740,9e-04,0.2,0.424,0.079,82,66,3.1, ,46,0.079,0.0016,0.503,610,390,21,77,160,1.28,0.0013,12,34,1.8,200,8e-04, ,23, ,0.0027
"Tuna fingerling","","Accra","Smoked",1,78,0.38,0.018,2000,0.0083,0.54,1.086,0.244,61,260,19,0.0029,150,0.38,0.0032,1.33,1700,1100,63,220,520,4.33,0.0059,32,27,5.2,33,0.0046, , , ,0.0071
"","Aethaloperca rogaa","Coral reef","Sun-dried",2,77.4897959183673,2.7,0.0031,1360,0.02135,0.056,0.1915,0.049,20,530,1.9,0.0053,185,0.062,0.0175,0.241,1320,1550,70.5,110,675,2.04,0.0039,1.35,1,2.55, , , , , , 
"Flying fish","Cheilopogon melanurus","Accra","Fresh",1,25.8,0.098,0.0073,1100,0.0024,0.036,0.247,0.032,14,18,1.2,0.0054,51,0.73,0.0027,0.279,670,260,19,44,130,0.858,0.0058,2.9, ,1.5,20,5e-04, ,0.6, , 
"Flying fish","Cheilopogon melanurus","Accra","Smoked",1,70,0.23,0.033,3400,0.031,0.19,0.568,0.082,25,67,8.9,0.038,160,1.7,0.0077,0.65,2100,880,58,140,450,2.24,0.021,4.3, ,5.6,60,0.0028, ,10, , 
"Omena","Encrasicholina punctifer","Tanzania","Sun-dried",1,69,0.41,0.047,990,0.0038,0.18,0.614,0.187,20,83,3.5,0.0057,240,0.31,0.0011,0.801,1000,870,54,120,3700,2.64,0.0074,12,11,3.9,10,0.0024, , , , 
"Usipa","Engraulicypris sardella","Lake Malawi","Sun-dried",6,83.8413793103448,0.0191666666666667,0.0110166666666667,2616.66666666667,0.0261666666666667,0.346666666666667,0.886333333333333,0.773,53.8333333333333,46.1666666666667,12.3666666666667, ,141.666666666667,0.963333333333333,0.0033,1.66166666666667,1933.33333333333,1066.66666666667,59.3333333333333,83.3333333333333,213.333333333333,14.35,0.0169666666666667,38.6666666666667,3.33333333333333,14.4,31.8333333333333, , , , , 
"Anchovy","Engraulis encrasicolus","Accra","Fresh",1,24,0.25,0.007,870,0.0031,0.13,0.339,0.061,64,51,3.2,0.0023,62,0.45,0.001,0.4,660,370,17,50,160,0.916,0.038,15,6,1.8,44,0.0023,0.004,2.6, , 
"Anchovy","Engraulis encrasicolus","Accra","Sun-dried",2,84,0.71,0.0185,3350,0.45,0.5,0.962,0.217,84,315,84.5,0.1365,300,2.3,0.0028,1.175,2350,1250,63.5,175,1600,3.445,0.34,38,13.5,6.6,9,0.0245,0.042, ,0.0525, 
"","Epinephelus fuscoguttatus","Coral reef","Sun-dried",1,79,5.3,0.0011,2100,0.0082,0.043,0.194,0.031,17,440,1.6,0.0088,200,0.083,0.011,0.225,1500,1300,69,140,900,2.3,0.0062,1, ,2.9, , , , , , 
